PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AUID,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,COIS,RF,TT,OID,CIN,CON,CN,FIR,IR,SI,EIN,MID,PMCR
3461931,NLM,MEDLINE,19861023,20190515,0149-5992 (Print) 0149-5992 (Linking),9,4,1986 Jul-Aug,Wolfram syndrome: report of four new cases and a review of literature.,405-8,,"The Wolfram, or DIDMOAD, syndrome consists of diabetes insipidus, diabetes mellitus, optic atrophy, and deafness. Diabetes mellitus usually occurs as the first manifestation of this syndrome, followed by the development of optic atrophy, neurosensory hearing loss, and finally diabetes insipidus. We report on four cases with a review of the literature. The diabetes mellitus occurring in these patients is clinically indistinguishable from classic type I diabetes mellitus. Two of three patients continue to have measurable C-peptide secretion 8 yr after onset of diabetes. Two of three patients with Wolfram syndrome had the HLA-DR2 antigen. Combining our cases with those described in the literature, 7 of 11 patients have the HLA-DR2 antigen. The preponderance of the HLA-DR2 antigen in the Wolfram syndrome is different from classic type I diabetes. This is further evidence of the genetic heterogeneity of diabetes mellitus. Although the Wolfram syndrome is rare, it should be considered in diabetic patients with unexplained optic atrophy and hearing loss or with polyuria and polydipsia in the presence of adequate blood sugar control.",,"['Fishman, L', 'Ehrlich, R M']","['Fishman L', 'Ehrlich RM']",,,['eng'],,"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Diabetes Care,Diabetes care,7805975,"['0 (HLA-DR Antigens)', '0 (Histocompatibility Antigens Class II)']",IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Diabetes Mellitus, Type 1/diagnosis', 'Diagnosis, Differential', 'Female', 'HLA-DR Antigens', 'Histocompatibility Antigens Class II/analysis', 'Humans', 'Male', 'Wolfram Syndrome/diagnosis/immunology/*physiopathology']",,,,1986/07/01 00:00,1986/07/01 00:01,['1986/07/01 00:00'],"['1986/07/01 00:00 [pubmed]', '1986/07/01 00:01 [medline]', '1986/07/01 00:00 [entrez]']",['10.2337/diacare.9.4.405 [doi]'],ppublish,Diabetes Care. 1986 Jul-Aug;9(4):405-8. doi: 10.2337/diacare.9.4.405.,,,,,,,,,,,,,,
8501404,NLM,MEDLINE,19930701,20041117,0025-7850 (Print) 0025-7850 (Linking),24,1,1993,Septo-optic dysplasia associated with polyendocrine dysfunction.,67-74,,"Septo-optic dysplasia (SOD) is a rare congenital disease that has been described in association with hypothalamic dysfunction. A case of polyendocrine dysfunction is described in a 22 year-old white female with septo-optic dysplasia. Findings included atrophic optic nerves, a cavum septum pellucidum and a small pituitary gland detected by magnetic resonance imaging. The patient had central diabetes insipidus, Hashimoto's thyroiditis, and gestational diabetes mellitus. A review of the literature is presented. A careful and detailed endocrine evaluation is needed in patients with SOD.",,"['Shammas, N W', 'Brown, J D', 'Foreman, B W', 'Marutani, D R', 'Maddela, D', 'Tonner, D']","['Shammas NW', 'Brown JD', 'Foreman BW', 'Marutani DR', 'Maddela D', 'Tonner D']",,"['Department of Medicine, University of Rochester Medical Center, NY 14642.']",['eng'],,"['Case Reports', 'Journal Article', 'Review']",United States,J Med,Journal of medicine,7505566,,IM,"['Adult', 'Diabetes Insipidus/*complications', 'Diabetes, Gestational/*complications', 'Female', 'Humans', 'Optic Nerve/*abnormalities', 'Pregnancy', 'Septum Pellucidum/*abnormalities', 'Thyroiditis, Autoimmune/*complications']",,,,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,J Med. 1993;24(1):67-74.,,,15,,,,,,,,,,,
7444643,NLM,MEDLINE,19810224,20061115,0038-5077 (Print) 0038-5077 (Linking),,11,1980,[Diabetes insipidus syndrome (pathogenetic and therapeutic problems)].,38-42,,,,"['Vein, A M', ""Solov'eva, E G""]","['Vein AM', ""Solov'eva EG""]",,,['rus'],,"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Sov Med,Sovetskaia meditsina,0404525,,IM,"['Adolescent', 'Adult', 'Autonomic Nervous System/physiopathology', 'Brain/physiopathology', 'Diabetes Insipidus/physiopathology/therapy', 'Diabetes Mellitus/*etiology', 'Female', 'Humans', 'Male', 'Middle Aged', 'Psychophysiology', 'Syndrome']",,,,1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Sov Med. 1980;(11):38-42.,,,,Sindrom nesakharnogo diabeta (nekotorye voprosy patogeneza i lecheniia).,,,,,,,,,,
5870388,NLM,MEDLINE,19661226,20041117,0048-6752 (Print),19,4,1965 Oct 31,[Diabetes insipidus and diabetes mellitus: a rare association].,415-21,,,,"['Scarpelli, P T', 'Maiello, M', 'Palchetti, R', 'Tortoli, V']","['Scarpelli PT', 'Maiello M', 'Palchetti R', 'Tortoli V']",,,['ita'],,['Journal Article'],Italy,Rass Neurol Veg,Rassegna di neurologia vegetativa,0401264,,IM,"['Adolescent', 'Adult', 'Child', '*Diabetes Complications', 'Diabetes Insipidus/*complications', 'Humans', 'Male']",,,,1965/10/31 00:00,1965/10/31 00:01,['1965/10/31 00:00'],"['1965/10/31 00:00 [pubmed]', '1965/10/31 00:01 [medline]', '1965/10/31 00:00 [entrez]']",,ppublish,Rass Neurol Veg. 1965 Oct 31;19(4):415-21.,,,,Diabete insipito e diabete mellito: una rara associazione.,,,,,,,,,,
4364916,NLM,MEDLINE,19740730,20071115,,50,2,1974 Jan 8,[Juvenile diabetes and primary optic atrophy].,127-41,,,,"['Laffay, G', 'Lestradet, H']","['Laffay G', 'Lestradet H']",,,['fre'],,['Journal Article'],France,Sem Hop,La semaine des hopitaux : organe fonde par l'Association d'enseignement medical des hopitaux de Paris,9410059,,IM,"['Adolescent', 'Adult', 'Age Factors', 'Child', 'Chromosome Aberrations', 'Chromosome Disorders', 'Deafness/complications/diagnosis', 'Diabetes Insipidus/complications', 'Diabetes Mellitus, Type 1/classification/*complications/diagnosis/genetics', 'Electroretinography', 'Friedreich Ataxia/complications', 'Hearing Tests', 'Humans', 'Hypogonadism/complications', 'Optic Atrophy/*complications/diagnosis/genetics', 'Retinitis Pigmentosa/complications', 'Statistics as Topic', 'Time Factors', 'Vision Tests']",,,,1974/01/08 00:00,1974/01/08 00:01,['1974/01/08 00:00'],"['1974/01/08 00:00 [pubmed]', '1974/01/08 00:01 [medline]', '1974/01/08 00:00 [entrez]']",,ppublish,Sem Hop. 1974 Jan 8;50(2):127-41.,,,,Diabete juvenile et atrophie optique primitive.,,,,,,,,,,
25083957,NLM,MEDLINE,20151006,20151119,2327-2228 (Electronic) 0363-7913 (Linking),97,8,2014 Aug 1,Refractory diabetes insipidus leading to diagnosis of type 2 diabetes mellitus and non-ketotic hyperglycemia in an adolescent male.,34-5,,,,"['Soto, Angela Ganan', 'Cheruvu, Sunita', 'Bialo, Darren', 'Quintos, Jose Bernardo']","['Soto AG', 'Cheruvu S', 'Bialo D', 'Quintos JB']",,"['Pediatric Endocrine Fellow, Rhode Island Hospital and The Warren Alpert Medical School of Brown University, Division of Pediatric Endocrinology.', ""Pediatric Endocrinologist, Division of Pediatric Endocrinology, Goryeb Children's Hospital at Morristown Medical Center, NJ."", 'Radiology Fellow, Rhode Island Hospital, The Warren Alpert Medical School of Brown University, Department of Diagnostis Imaging.', 'Pediatric Endocrinologist, Rhode Island Hospital, The Warren Alpert Medical School of Brown University, Division of Pediatric Endocrinology.']",['eng'],,"['Case Reports', 'Journal Article']",United States,R I Med J (2013),Rhode Island medical journal (2013),101605827,"['0 (Hypoglycemic Agents)', '0 (Insulin Lispro)', '0 (Insulin, Long-Acting)', '2ZM8CX04RZ (Insulin Glargine)']",IM,"['Adolescent', 'Diabetes Insipidus, Neurogenic/*diagnosis/drug therapy', 'Diabetes Mellitus, Type 2/*diagnosis/drug therapy', 'Humans', 'Hyperglycemia/*diagnosis/drug therapy', 'Hypoglycemic Agents/therapeutic use', 'Insulin Glargine', 'Insulin Lispro/therapeutic use', 'Insulin, Long-Acting/therapeutic use', 'Magnetic Resonance Imaging', 'Male', 'Seizures/etiology']",,,,2014/08/02 06:00,2015/10/07 06:00,['2014/08/02 06:00'],"['2014/08/02 06:00 [entrez]', '2014/08/02 06:00 [pubmed]', '2015/10/07 06:00 [medline]']",,epublish,R I Med J (2013). 2014 Aug 1;97(8):34-5.,20140801,,,,,,,,,,,,,
15067422,NLM,MEDLINE,20040908,20181113,0941-293X (Print) 0941-293X (Linking),101,4,2004 Apr,"[Bilateral progressive optic atrophy and without diabetic retinopathy in a young diabetic patient. Wolfram syndrome: diabetes insipidus, diabetes mellitus, optic atrophy and deafness (DIDMOAD)].",394-6,,,,"['Meyer, C H', 'Rodrigues, E B', 'Schmidt, J C']","['Meyer CH', 'Rodrigues EB', 'Schmidt JC']",,"['Zentrum fur Augenheilkunde, Philipps-Universitat Marburg. meyer_eye@yahoo.com']",['ger'],,"['Case Reports', 'Journal Article']",Germany,Ophthalmologe,Der Ophthalmologe : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft,9206148,,IM,"['Adult', 'Atrophy', 'Brain/pathology', 'Chromosome Aberrations', 'Chromosomes, Human, Pair 4', 'Diabetes Insipidus/*diagnosis', 'Diabetes Mellitus, Type 1/*diagnosis', 'Diabetic Retinopathy/*diagnosis', 'Diagnosis, Differential', 'Follow-Up Studies', 'Genes, Recessive/genetics', 'Humans', 'Magnetic Resonance Imaging', 'Male', 'Optic Atrophy/*diagnosis', 'Visual Fields/physiology', 'Wolfram Syndrome/*diagnosis/genetics']",,,,2004/04/07 05:00,2004/09/09 05:00,['2004/04/07 05:00'],"['2004/04/07 05:00 [pubmed]', '2004/09/09 05:00 [medline]', '2004/04/07 05:00 [entrez]']",['10.1007/s00347-003-0833-z [doi]'],ppublish,Ophthalmologe. 2004 Apr;101(4):394-6. doi: 10.1007/s00347-003-0833-z.,,,,"Bilateral progrediente Optikusatrophie und fehlende diabetische Retinopathie bei einem jungen Diabetiker. Diabetes insipidus, diabetes mellitus, optic atrophy and deafnesss (DIDMOAD).",,,,,,,,,,
874711,NLM,MEDLINE,19770812,20161123,0022-345X (Print) 0022-345X (Linking),14,2,1977 Mar-Apr,"Optic atrophy, diabetes mellitus, hypothlamic dysfunction and a small sella turcica.",106-8,,,,"['Hyams, S W', 'Adar, H', 'Friedman, E']","['Hyams SW', 'Adar H', 'Friedman E']",,,['eng'],,"['Case Reports', 'Journal Article']",United States,J Pediatr Ophthalmol,Journal of pediatric ophthalmology,0044350,,IM,"['Adolescent', '*Diabetes Insipidus', '*Diabetes Mellitus', 'Growth Disorders', 'Humans', 'Male', '*Optic Atrophy', 'Radiography', 'Sella Turcica/*abnormalities/diagnostic imaging', 'Syndrome']",,,,1977/03/01 00:00,1977/03/01 00:01,['1977/03/01 00:00'],"['1977/03/01 00:00 [pubmed]', '1977/03/01 00:01 [medline]', '1977/03/01 00:00 [entrez]']",,ppublish,J Pediatr Ophthalmol. 1977 Mar-Apr;14(2):106-8.,,,,,,,,,,,,,,
574589,NLM,MEDLINE,19800226,20061115,0300-8630 (Print) 0300-8630 (Linking),191,6,1979 Nov,"[Diabetes insipidus, diabetes mellitus, optic atrophy and labyrinthine deafness: the DIDMOAD-syndrome (author's transl)].",572-7,,"The DIDMOAD syndrome is a combination of diabetes mellitus, diabetes insipidus, optic atrophy and labyrinthine deafness. The inheritance is autosomalrecessive. Diagnostic and therapeutic possibilities are discussed on the basis of a further case of this pathogenetically not yet clarified disease pattern. Early detection of this syndrome in juvenile diabetics is important for long-term prognosis and genetic family advice.",,"['Ijaiya, K', 'Roth, B', 'Gladtke, E', 'Puyn, U']","['Ijaiya K', 'Roth B', 'Gladtke E', 'Puyn U']",,,['ger'],,"['Case Reports', 'English Abstract', 'Journal Article']",Germany,Klin Padiatr,Klinische Padiatrie,0326144,,IM,"['Child', '*Diabetes Complications', 'Diabetes Insipidus/*complications/genetics', 'Diabetes Mellitus/genetics', 'Female', 'Genetic Counseling', 'Hearing Disorders/*complications/genetics', 'Humans', 'Optic Atrophy/*complications/genetics', 'Syndrome']",,,,1979/11/01 00:00,1979/11/01 00:01,['1979/11/01 00:00'],"['1979/11/01 00:00 [pubmed]', '1979/11/01 00:01 [medline]', '1979/11/01 00:00 [entrez]']",,ppublish,Klin Padiatr. 1979 Nov;191(6):572-7.,,,,"Diabetes insipidus, Diabetes mellitus, Optikusatrophie und Schwerhorigkeit: DIDMOAD-Syndrom.",,,,,,,,,,
14135964,NLM,MEDLINE,19961201,20181201,0014-2565 (Print) 0014-2565 (Linking),92,,1964 Jan 15,[CLINICAL FORMS OF DIABETES MELLITUS].,1-7,,,,"['RODRIGUEZ MINON, J L']",['RODRIGUEZ MINON JL'],,,['spa'],,['Journal Article'],Spain,Rev Clin Esp,Revista clinica espanola,8608576,,OM,"['*Acromegaly', 'Adolescent', 'Child', '*Classification', '*Cushing Syndrome', '*Diabetes Insipidus', '*Diabetes Mellitus', '*Diabetes Mellitus, Type 1', '*Glycosuria', '*Hemochromatosis', 'Humans', '*Hyperaldosteronism', '*Hyperthyroidism', 'Infant', '*Pheochromocytoma']",,['NLM'],"['*ACROMEGALY', '*ADOLESCENCE', '*CHILD', '*CLASSIFICATION', ""*CUSHING'S SYNDROME"", '*DIABETES INSIPIDUS', '*DIABETES MELLITUS', '*DIABETES MELLITUS, JUVENILE', '*GLYCOSURIA', '*HEMOCHROMATOSIS', '*HYPERALDOSTERONISM', '*HYPERTHYROIDISM', '*INFANT', '*PHEOCHROMOCYTOMA']",1964/01/15 00:00,1964/01/15 00:01,['1964/01/15 00:00'],"['1964/01/15 00:00 [pubmed]', '1964/01/15 00:01 [medline]', '1964/01/15 00:00 [entrez]']",,ppublish,Rev Clin Esp. 1964 Jan 15;92:1-7.,,,,FORMAS CLINICAS DE LA DIABETES MELLITUS.,,,,,,,,,,
3723871,NLM,MEDLINE,19860813,20041117,0021-5155 (Print) 0021-5155 (Linking),30,1,1986,"Optic atrophy, diabetes mellitus and diabetes insipidus.",51-5,,"A 19-year-old Japanese woman developed diabetes mellitus, diabetes insipidus and optic atrophy. Other abnormal ocular findings included color blindness, elevated dark adaptation threshold, loss of oscillatory potentials after a single white flash electroretinogram (ERG), reduced cone response in photopic ERG, and reduced pupillary response to light and convergence. Diabetic retinopathy, which has been thought to be very rare in this syndrome, also was found in the fundi of this patient.",,"['Shiono, T', 'Ohmura, M', 'Fukuda, K', 'Mizuno, K', 'Sato, M']","['Shiono T', 'Ohmura M', 'Fukuda K', 'Mizuno K', 'Sato M']",,,['eng'],,"['Case Reports', 'Journal Article']",Japan,Jpn J Ophthalmol,Japanese journal of ophthalmology,0044652,,IM,"['Adult', '*Diabetes Complications', 'Diabetes Insipidus/*complications', 'Diabetic Retinopathy/complications', 'Electroretinography', 'Female', 'Fluorescein Angiography', 'Fundus Oculi', 'Humans', 'Optic Atrophy/*complications/pathology/physiopathology', 'Syndrome', 'Visual Acuity', 'Visual Fields']",,,,1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",,ppublish,Jpn J Ophthalmol. 1986;30(1):51-5.,,,,,,,,,,,,,,
7344893,NLM,MEDLINE,19820924,20190515,0149-5992 (Print) 0149-5992 (Linking),4,3,1981 May-Jun,Physician-patient communication in chronic illness.,427-9,,,,"['Solowiejczyk, J N', 'Baker, L']","['Solowiejczyk JN', 'Baker L']",,,['eng'],['RR 00240/RR/NCRR NIH HHS/United States'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Diabetes Care,Diabetes care,7805975,,IM,"['*Chronic Disease', 'Communication', 'Diabetes Insipidus/therapy', 'Diabetes Mellitus/therapy', 'Female', 'Humans', 'Male', '*Physician-Patient Relations', '*Self Care']",,,,1981/05/01 00:00,1981/05/01 00:01,['1981/05/01 00:00'],"['1981/05/01 00:00 [pubmed]', '1981/05/01 00:01 [medline]', '1981/05/01 00:00 [entrez]']",['10.2337/diacare.4.3.427 [doi]'],ppublish,Diabetes Care. 1981 May-Jun;4(3):427-9. doi: 10.2337/diacare.4.3.427.,,,,,,,,,,,,,,
23402646,NLM,MEDLINE,20130918,20211021,1471-2105 (Electronic) 1471-2105 (Linking),14,,2013 Feb 13,Discovery of novel biomarkers and phenotypes by semantic technologies.,51,10.1186/1471-2105-14-51 [doi],"BACKGROUND: Biomarkers and target-specific phenotypes are important to targeted drug design and individualized medicine, thus constituting an important aspect of modern pharmaceutical research and development. More and more, the discovery of relevant biomarkers is aided by in silico techniques based on applying data mining and computational chemistry on large molecular databases. However, there is an even larger source of valuable information available that can potentially be tapped for such discoveries: repositories constituted by research documents. RESULTS: This paper reports on a pilot experiment to discover potential novel biomarkers and phenotypes for diabetes and obesity by self-organized text mining of about 120,000 PubMed abstracts, public clinical trial summaries, and internal Merck research documents. These documents were directly analyzed by the InfoCodex semantic engine, without prior human manipulations such as parsing. Recall and precision against established, but different benchmarks lie in ranges up to 30% and 50% respectively. Retrieval of known entities missed by other traditional approaches could be demonstrated. Finally, the InfoCodex semantic engine was shown to discover new diabetes and obesity biomarkers and phenotypes. Amongst these were many interesting candidates with a high potential, although noticeable noise (uninteresting or obvious terms) was generated. CONCLUSIONS: The reported approach of employing autonomous self-organising semantic engines to aid biomarker discovery, supplemented by appropriate manual curation processes, shows promise and has potential to impact, conservatively, a faster alternative to vocabulary processes dependent on humans having to read and analyze all the texts. More optimistically, it could impact pharmaceutical research, for example to shorten time-to-market of novel drugs, or speed up early recognition of dead ends and adverse reactions.",,"['Trugenberger, Carlo A', 'Walti, Christoph', 'Peregrim, David', 'Sharp, Mark E', 'Bureeva, Svetlana']","['Trugenberger CA', 'Walti C', 'Peregrim D', 'Sharp ME', 'Bureeva S']",,"['InfoCodex AG, Semantic Technologies, Buchs (SG), Switzerland.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,BMC Bioinformatics,BMC bioinformatics,100965194,['0 (Biomarkers)'],IM,"['*Biomarkers', 'Data Mining/*methods', 'Diabetes Insipidus/diagnosis', 'Diabetes Mellitus/diagnosis', 'Humans', 'Obesity/diagnosis', '*Phenotype', 'PubMed', 'Semantics', 'Vocabulary, Controlled']",PMC3605201,,,2013/02/14 06:00,2013/09/21 06:00,['2013/02/14 06:00'],"['2012/06/22 00:00 [received]', '2013/02/01 00:00 [accepted]', '2013/02/14 06:00 [entrez]', '2013/02/14 06:00 [pubmed]', '2013/09/21 06:00 [medline]']","['1471-2105-14-51 [pii]', '10.1186/1471-2105-14-51 [doi]']",epublish,BMC Bioinformatics. 2013 Feb 13;14:51. doi: 10.1186/1471-2105-14-51.,20130213,,,,,,,,,,,,,
6671470,NLM,MEDLINE,19840502,20170302,0423-104X (Print) 0423-104X (Linking),34,5,1983,"[Diabetes insipidus, diabetes mellitus, optic atrophy and deafness (DIDMOAD syndrome) in 2 siblings].",337-42,,,,"['Rybakowa, M', 'Wislocka, E', 'Soltysik-Wilk, E', 'Pleti, M', 'Bedkowska, A']","['Rybakowa M', 'Wislocka E', 'Soltysik-Wilk E', 'Pleti M', 'Bedkowska A']",,,['pol'],,"['Case Reports', 'English Abstract', 'Journal Article']",Poland,Endokrynol Pol,Endokrynologia Polska,0370674,,IM,"['Child', 'Deafness/*genetics', 'Diabetes Insipidus/*genetics', 'Diabetes Mellitus, Type 1/*genetics', 'Female', 'Humans', 'Optic Atrophy/*genetics', 'Syndrome']",,,,1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",,ppublish,Endokrynol Pol. 1983;34(5):337-42.,,,,"Moczowka prosta, cukrzyca, zanik nerwu wzrokowego i gluchota (zespol DIDMOAD) u dwojga rodzenstwa.",,,,,,,,,,
4027654,NLM,MEDLINE,19851007,20190614,0006-8993 (Print) 0006-8993 (Linking),340,2,1985 Aug 12,Effects of water deprivation and deamino [8-D-arginine] vasopressin on [14C]2-deoxyglucose uptake by the hypothalamo-hypophysial system in mice with hereditary nephrogenic diabetes insipidus.,297-303,,"The effects of water deprivation and the injection of deamino [8-D-arginine] vasopressin (dDAVP) on the metabolic activity of the hypothalamo-neurohypophysial neurones of mice with inherited nephrogenic diabetes insipidus (DI +/+ Severe) have been investigated by quantitative autoradiography using the [14C]2-deoxyglucose (2-DG) technique. The relative metabolic activities (rma) of the paraventricular nuclei (PVN) and pars nervosa (PN) in severely diabetic mice were not significantly different from the rma of the PVN and PN in Non-severe or Normal mice, but the rma of the pars distalis (PD) was greater in the Severe mice than in the other two strains. Water deprivation (4-5 h) significantly increased the rma of the PVN and PN in Severe mice compared with those in Non-severe mice that had been similarly deprived of water. The increased rma of the PVN and PN produced by water deprivation in Severe mice was not reduced to normal by injection of dDAVP. The injection of dDAVP alone had no effect on the rma of the PVN or PN, but dDAVP injection alone, water deprivation alone, or both treatments combined decreased the rma of the PD in Severe mice. Neither the supraoptic nuclei (SON) nor any of the other 19 brain areas studied were affected, in terms of rma, by either water deprivation, injection of dDAVP, or both.(ABSTRACT TRUNCATED AT 250 WORDS)",,"['Sutherland, R C', 'Fink, G', 'Morris, J F']","['Sutherland RC', 'Fink G', 'Morris JF']",,,['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Brain Res,Brain research,0045503,"['0 (Deoxy Sugars)', '113-79-1 (Arginine Vasopressin)', '9G2MP84A8W (Deoxyglucose)', 'ENR1LLB0FP (Deamino Arginine Vasopressin)']",IM,"['Animals', 'Arginine Vasopressin/*pharmacology', 'Autoradiography', 'Brain/*metabolism', 'Deamino Arginine Vasopressin/*pharmacology', 'Deoxy Sugars/*metabolism', 'Deoxyglucose/*metabolism', 'Diabetes Insipidus/genetics/*metabolism/physiopathology', 'Diabetic Nephropathies/genetics/metabolism/physiopathology', 'Female', 'Hypothalamo-Hypophyseal System/*metabolism/physiology', 'Injections, Intraperitoneal', 'Male', 'Mice', 'Mice, Mutant Strains', 'Species Specificity', 'Water Deprivation/*physiology']",,,,1985/08/12 00:00,1985/08/12 00:01,['1985/08/12 00:00'],"['1985/08/12 00:00 [pubmed]', '1985/08/12 00:01 [medline]', '1985/08/12 00:00 [entrez]']","['0006-8993(85)90926-6 [pii]', '10.1016/0006-8993(85)90926-6 [doi]']",ppublish,Brain Res. 1985 Aug 12;340(2):297-303. doi: 10.1016/0006-8993(85)90926-6.,,,,,,,,,,,,,,
5478183,NLM,MEDLINE,19701231,20131121,0370-8241 (Print) 0370-8241 (Linking),25,11,1970 Nov,[Diabetes insipidus with diabetes mellitus--changes of serum I.R.I. and effect of oral antidiabetics].,2347-51,,,,"['Goto, A', 'Nagase, M', 'Ogawa, N', 'Yozai, S', 'Kawanishi, K']","['Goto A', 'Nagase M', 'Ogawa N', 'Yozai S', 'Kawanishi K']",,,['jpn'],,['Journal Article'],Japan,Saishin Igaku,Saishin igaku. Modern medicine,0413561,"['0 (Insulin)', 'WTM2C3IL2X (Chlorpropamide)']",IM,"['Adult', 'Chlorpropamide/*therapeutic use', '*Diabetes Complications', 'Diabetes Insipidus/blood/*complications/drug therapy', 'Diabetes Mellitus/blood', 'Humans', 'Insulin/*blood', 'Male']",,,,1970/11/01 00:00,1970/11/01 00:01,['1970/11/01 00:00'],"['1970/11/01 00:00 [pubmed]', '1970/11/01 00:01 [medline]', '1970/11/01 00:00 [entrez]']",,ppublish,Saishin Igaku. 1970 Nov;25(11):2347-51.,,,,,,,,,,,,,,
21015677,NLM,MEDLINE,20101112,20181201,0014-9446 (Print) 0014-9446 (Linking),5,1,1946,The water exchange of diabetes insipidus dogs under varying nutritional and hydration conditions.,23,,,,"['DE BODO, R C', 'PRESCOTT, K F']","['DE BODO RC', 'PRESCOTT KF']",,,['eng'],,['Journal Article'],United States,Fed Proc,Federation proceedings,0372771,['059QF0KO0R (Water)'],OM,"['Animals', '*Diabetes Insipidus', '*Diabetes Insipidus, Neurogenic', 'Diabetes Mellitus/*pathology', 'Dogs', 'Water/*metabolism']",,['NLM'],"['*DIABETES MELLITUS/pathology', '*WATER/metabolism']",1946/01/01 00:00,2010/12/14 06:00,['2010/10/29 06:00'],"['2010/10/29 06:00 [entrez]', '1946/01/01 00:00 [pubmed]', '2010/12/14 06:00 [medline]']",,ppublish,Fed Proc. 1946;5(1):23.,,,,,['CLML: 4610:625l'],,,,,,,,,
35229821,NLM,MEDLINE,20220302,20220302,1319-2442 (Print) 1319-2442 (Linking),32,4,2021 Jul-Aug,Recurrent Urinary Tract Infection in Young Diabetics: Reason to Look Beyond the Pancreas!,1176-1179,10.4103/1319-2442.338295 [doi],"Wolfram syndrome (WFS) is a rare autosomal recessive disorder which manifests with diabetes mellitus, diabetes insipidus (DI), optic atrophy, and deafness. Central DI is a late presentation of the disease which may rarely present with renal tract anomalies and recurrent urinary infections instead of classical symptoms. We report a family of three siblings with WFS with early onset of central DI and renal tract abnormalities indicating need to suspect and manage these conditions early.",,"['Taneja, Kushagra', 'Dabas, Aashima', 'Yadav, Sangeeta']","['Taneja K', 'Dabas A', 'Yadav S']",,"['Department of Pediatrics, Maulana Azad Medical College and Lok Nayak Hospital, New Delhi, India.', 'Department of Pediatrics, Maulana Azad Medical College and Lok Nayak Hospital, New Delhi, India.', 'Department of Pediatrics, Maulana Azad Medical College and Lok Nayak Hospital, New Delhi, India.']",['eng'],,['Case Reports'],Saudi Arabia,Saudi J Kidney Dis Transpl,"Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia",9436968,,IM,"['*Diabetes Insipidus', 'Humans', '*Optic Atrophy/diagnosis', 'Pancreas', '*Urinary Tract Infections/complications/diagnosis', '*Wolfram Syndrome/diagnosis']",,,,2022/03/02 06:00,2022/03/03 06:00,['2022/03/01 08:42'],"['2022/03/01 08:42 [entrez]', '2022/03/02 06:00 [pubmed]', '2022/03/03 06:00 [medline]']","['SaudiJKidneyDisTranspl_2021_32_4_1176_338295 [pii]', '10.4103/1319-2442.338295 [doi]']",ppublish,Saudi J Kidney Dis Transpl. 2021 Jul-Aug;32(4):1176-1179. doi: 10.4103/1319-2442.338295.,,,,,,,,,,,,,,
18874116,NLM,MEDLINE,20081016,20201005,0370-629X (Print) 0370-629X (Linking),3,14,1948 Jul 15,[Tasteless diabetes and blood pressure; biometric and statistical data].,346-8,,,,"['SCHACHTER, M']",['SCHACHTER M'],,,['fre'],,['Journal Article'],Belgium,Rev Med Liege,Revue medicale de Liege,0404317,,OM,"['*Blood Pressure', '*Blood Pressure Determination', '*Diabetes Insipidus', '*Diabetes Mellitus', 'Humans']",,['NLM'],"['*BLOOD PRESSURE', '*DIABETES/insipidus']",1948/07/15 00:00,2008/11/01 09:00,['1948/07/15 00:00'],"['1948/07/15 00:00 [pubmed]', '2008/11/01 09:00 [medline]', '1948/07/15 00:00 [entrez]']",,ppublish,Rev Med Liege. 1948 Jul 15;3(14):346-8.,,,,Diabete insipide et tension arterielle; donnees biometriques et statistiques.,['CLML: 4815:767k'],,,,,,,,,
