PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,LID,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,IP,AB,AUID,PMC,COIS,OTO,OT,GR,RN,CI,RF,CON,MID,CIN,CN,TT,PS,FPS,SPIN,EIN,OID,ORI
30139358,NLM,MEDLINE,20181015,20230928,1741-7015 (Electronic) 1741-7015 (Linking),16,2018 Aug 24,Cardiovascular medicine in China: what can we do to achieve the Healthy China 2030 plan?,132,10.1186/s12916-018-1133-4 [doi] 132,"['Bei, Yihua', 'Yang, Tingting', 'Xiao, Junjie']","['Bei Y', 'Yang T', 'Xiao J']","['Institute of Cardiovascular Sciences, Shanghai University, 381 Nan Chen Road, Shanghai, 200444, China.', 'Institute of Cardiovascular Sciences, Shanghai University, 381 Nan Chen Road, Shanghai, 200444, China.', 'Institute of Cardiovascular Sciences, Shanghai University, 381 Nan Chen Road, Shanghai, 200444, China. junjiexiao@live.cn.']",['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",20180824,England,BMC Med,BMC medicine,101190723,IM,"['Cardiovascular Diseases/mortality/*prevention & control/*therapy', 'China', 'Humans', 'Preventive Medicine/*methods']",2018/08/25 06:00,2018/10/16 06:00,['2018/08/25 06:00'],"['2018/07/11 00:00 [received]', '2018/07/23 00:00 [accepted]', '2018/08/25 06:00 [entrez]', '2018/08/25 06:00 [pubmed]', '2018/10/16 06:00 [medline]']","['10.1186/s12916-018-1133-4 [pii]', '1133 [pii]', '10.1186/s12916-018-1133-4 [doi]']",epublish,BMC Med. 2018 Aug 24;16(1):132. doi: 10.1186/s12916-018-1133-4.,1,"Cardiovascular diseases (CVDs) represent the leading cause of death in China. The Chinese government approved the Healthy China 2030 plan (jiankang zhongguo 2030), emphasizing the strategic role of health in China's development. As morbidity and mortality from CVDs are constantly increasing in China, the prevention and treatment of CVDs are vital to achieve this plan. Following the major principles of health priority, science and technology innovation, scientific development, and balanced medical resource allocation outlined in the Healthy China 2030 plan, this Commentary briefly introduces the current status of CVDs in China and marks the important events undertaken to achieve this plan.",,PMC6107941,"['COMPETING INTERESTS: The authors declare that they have no competing interests.', ""PUBLISHER'S NOTE: Springer Nature remains neutral with regard to jurisdictional"", 'claims in published maps and institutional affiliations.']",['NOTNLM'],"['Cardiovascular diseases', 'China', 'Healthy China 2030']",,,,,,,,,,,,,,,
34678421,NLM,MEDLINE,20221128,20221206,1873-2615 (Electronic) 1050-1738 (Linking),32,2022 Nov,Editorial commentary: Air pollution: The most important environmental threat to the cardiovascular system.,499-500,S1050-1738(21)00120-1 [pii] 10.1016/j.tcm.2021.10.005 [doi],"['Bourdrel, Thomas']",['Bourdrel T'],"['CNRS, IMIS, ICube Laboratory, UMR 7357, Strasbourg University, Strasbourg, France. Electronic address: thomasbourdrel@yahoo.fr.']",['eng'],"['Comment', 'Editorial']",20211019,United States,Trends Cardiovasc Med,Trends in cardiovascular medicine,9108337,IM,"['Humans', '*Air Pollution/adverse effects', '*Air Pollutants/adverse effects', '*Cardiovascular System', '*Cardiovascular Diseases/diagnosis/epidemiology/etiology']",2021/10/23 06:00,2022/11/29 06:00,['2021/10/22 20:33'],"['2021/10/14 00:00 [received]', '2021/10/15 00:00 [accepted]', '2021/10/23 06:00 [pubmed]', '2022/11/29 06:00 [medline]', '2021/10/22 20:33 [entrez]']","['S1050-1738(21)00120-1 [pii]', '10.1016/j.tcm.2021.10.005 [doi]']",ppublish,Trends Cardiovasc Med. 2022 Nov;32(8):499-500. doi: 10.1016/j.tcm.2021.10.005. Epub 2021 Oct 19.,8,,,,,['NOTNLM'],"['Air pollution', 'Autophagy', 'Cardiovascular diseases', 'Oxidative stress', 'Particulate matter', 'Ultrafine particles']",,['0 (Air Pollutants)'],,,['Trends Cardiovasc Med. 2022 Nov;32(8):487-498. PMID: 34619335'],,,,,,,,,,
34280422,NLM,MEDLINE,20211020,20211020,1874-1754 (Electronic) 0167-5273 (Linking),339,2021 Sep 15,Digoxin use in patients with cardiovascular diseases: An old remedy for future medicine?,106-107,S0167-5273(21)01171-2 [pii] 10.1016/j.ijcard.2021.07.026 [doi],"['Barison, Andrea', 'Aimo, Alberto']","['Barison A', 'Aimo A']","[""Fondazione Toscana G. Monasterio, Pisa, Italy; Institute of Life Sciences, Scuola Superiore Sant'Anna, Pisa, Italy. Electronic address: barison@ftgm.it."", ""Fondazione Toscana G. Monasterio, Pisa, Italy; Institute of Life Sciences, Scuola Superiore Sant'Anna, Pisa, Italy.""]",['eng'],"['Comment', 'Editorial']",20210717,Netherlands,Int J Cardiol,International journal of cardiology,8200291,IM,"['Anti-Arrhythmia Agents/therapeutic use', 'Arrhythmias, Cardiac/drug therapy', '*Cardiovascular Diseases/diagnosis/drug therapy/epidemiology', '*Digoxin', 'Humans']",2021/07/20 06:00,2021/10/21 06:00,['2021/07/19 20:11'],"['2021/06/25 00:00 [received]', '2021/07/12 00:00 [accepted]', '2021/07/20 06:00 [pubmed]', '2021/10/21 06:00 [medline]', '2021/07/19 20:11 [entrez]']","['S0167-5273(21)01171-2 [pii]', '10.1016/j.ijcard.2021.07.026 [doi]']",ppublish,Int J Cardiol. 2021 Sep 15;339:106-107. doi: 10.1016/j.ijcard.2021.07.026. Epub 2021 Jul 17.,,,,,,['NOTNLM'],"['Arrhythmias', 'Defibrillator', 'Digoxin', 'Glycosides', 'Heart failure', 'Mortality']",,"['0 (Anti-Arrhythmia Agents)', '73K4184T59 (Digoxin)']",,,['Int J Cardiol. 2021 Sep 1;338:109-114. PMID: 34087337'],,,,,,,,,,
32868066,NLM,MEDLINE,20210712,20210712,1097-685X (Electronic) 0022-5223 (Linking),162,2021 Jul,Trial sequential analysis in meta-analyses: A clinically oriented approach with real-world example.,167-173,S0022-5223(20)31795-5 [pii] 10.1016/j.jtcvs.2020.06.063 [doi],"['Chan, Jeffrey Shi Kai', 'Harky, Amer']","['Chan JSK', 'Harky A']","['Faculty of Medicine, The Chinese University of Hong Kong, Shatin, New Territories, Hong Kong; Division of Cardiology, Department of Medicine and Therapeutics, Prince of Wales Hospital, Shatin, New Territories, Hong Kong. Electronic address: skjchan@link.cuhk.edu.hk.', 'Department of Cardiothoracic Surgery, Liverpool Heart and Chest Hospital, Liverpool, United Kingdom.']",['eng'],['Editorial'],20200627,United States,J Thorac Cardiovasc Surg,The Journal of thoracic and cardiovascular surgery,0376343,IM,"['Anticoagulants/therapeutic use', '*Cardiovascular Diseases/complications/drug therapy/epidemiology/etiology', 'Humans', '*Meta-Analysis as Topic', 'Models, Cardiovascular', 'Platelet Aggregation Inhibitors/therapeutic use', 'Research Design']",2020/09/02 06:00,2021/07/13 06:00,['2020/09/02 06:00'],"['2020/03/23 00:00 [received]', '2020/06/06 00:00 [revised]', '2020/06/10 00:00 [accepted]', '2020/09/02 06:00 [pubmed]', '2021/07/13 06:00 [medline]', '2020/09/02 06:00 [entrez]']","['S0022-5223(20)31795-5 [pii]', '10.1016/j.jtcvs.2020.06.063 [doi]']",ppublish,J Thorac Cardiovasc Surg. 2021 Jul;162(1):167-173. doi: 10.1016/j.jtcvs.2020.06.063. Epub 2020 Jun 27.,1,,,,,,,,"['0 (Anticoagulants)', '0 (Platelet Aggregation Inhibitors)']",,,,,"['J Thorac Cardiovasc Surg. 2021 Jul;162(1):176-177. PMID: 32778461', 'J Thorac Cardiovasc Surg. 2021 Jul;162(1):174-175. PMID: 32800370', 'J Thorac Cardiovasc Surg. 2021 Jul;162(1):175-176. PMID: 32807558']",,,,,,,,
22712270,NLM,MEDLINE,20120829,20181201,0869-6047 (Print) 0869-6047 (Linking),,2012,[Problems in medical care for patients with cardiovascular diseases].,15-22,,"['Maksimova, T M', 'Lushkina, N P', 'Ogryzko, E V']","['Maksimova TM', 'Lushkina NP', 'Ogryzko EV']",,['rus'],['Journal Article'],,Russia (Federation),Vestn Ross Akad Med Nauk,Vestnik Rossiiskoi akademii meditsinskikh nauk,9215641,IM,"['Cardiovascular Diseases/*diagnosis/*epidemiology/mortality/prevention & control/*therapy', 'Delivery of Health Care/organization & administration/statistics & numerical data', 'Education, Medical', 'Female', 'Humans', 'Life Expectancy/trends', 'Male', 'Physicians/statistics & numerical data', 'Russia', 'Workforce']",2012/06/21 06:00,2012/08/30 06:00,['2012/06/21 06:00'],"['2012/06/21 06:00 [entrez]', '2012/06/21 06:00 [pubmed]', '2012/08/30 06:00 [medline]']",,ppublish,Vestn Ross Akad Med Nauk. 2012;(3):15-22.,3,"Despite showing that cardiovascular disease mortality in Russia is declining evaluation of medical care for cardiovascular patients, using different information sources, revealed a lot of problems in this field need it's solving. Together with modernization of medical services it is urgently necessary to transform the medical education, including post graduate, information support for medical professionals in field of modern medical technologies, using in countries with low mortality rates, creation the conditions for regular updating professional knowledge. It is necessary to reconsider formal criteria for medical care evaluation, especially taking into account co morbidity of cardiovascular diseases. Our data illustrate that social disparities influence on outcomes of diseases and so for further decreasing mortality rates and increasing the life expectancy adequate treatment must be provide for all patients independently of their material wellbeing.",,,,,,,,,,,,,,,,,,,,
32126603,NLM,MEDLINE,20200611,20200611,1592-7830 (Print) 1592-7830 (Linking),41,2019 Dec,"[Lights and shadows of combined epigenomic and transcriptomic profiling to identify novel diagnostic, prognostic or therapeutic targets for cardiovascular diseases.].",328-332,,"['Paolillo, Roberta', 'Boccella, Nicola', ""D'Apice, Stefania"", 'Esposito, Giovanni', 'Perrino, Cinzia']","['Paolillo R', 'Boccella N', ""D'Apice S"", 'Esposito G', 'Perrino C']","['Dipartimento di Scienze Biomediche Avanzate, Universita Federico II, Napoli.', 'Dipartimento di Scienze Biomediche Avanzate, Universita Federico II, Napoli.', 'Dipartimento di Scienze Biomediche Avanzate, Universita Federico II, Napoli.', 'Dipartimento di Scienze Biomediche Avanzate, Universita Federico II, Napoli.', 'Dipartimento di Scienze Biomediche Avanzate, Universita Federico II, Napoli.']",['ita'],['Journal Article'],,Italy,G Ital Med Lav Ergon,Giornale italiano di medicina del lavoro ed ergonomia,9712708,IM,"['Cardiovascular Diseases/diagnosis/*physiopathology/therapy', 'Epigenesis, Genetic', 'Epigenomics/*methods', 'Gene Expression Profiling/*methods', 'Humans', 'Prognosis', 'Transcriptome']",2020/03/04 06:00,2020/06/12 06:00,['2020/03/04 06:00'],"['2019/07/01 00:00 [received]', '2019/09/01 00:00 [accepted]', '2020/03/04 06:00 [entrez]', '2020/03/04 06:00 [pubmed]', '2020/06/12 06:00 [medline]']",['SIML12 [pii]'],ppublish,G Ital Med Lav Ergon. 2019 Dec;41(4):328-332.,4,"Cardiovascular diseases are the major cause of morbidity and mortality worldwide. Given the complex pathophysiology of cardiovascular diseases, an experimental approach capable of identifying multiple signaling networks activated in the heart upon pathological conditions could be particularly effective to identify new diagnostic, prognostic or therapeutic targets. Latest generation techniques now allow high-resolution investigations of the entire genome, the proteome and the cellular metabolome, as well as epigenetic modifications and associated gene expression profiles. In particular, the integration of epigenomic and transcriptomic data in the normal or pathological heart is a promising approach to identify novel molecular targets. These methods, although promising and innovative, can present several technical and analytical pitfalls. Here we will briefly describe these aspects and possible strategies to optimize the search for new diagnostic or therapeutic targets for cardiovascular diseases in the post-genomic era.",,,['The authors of this article have no conflict of interests to disclose.'],['NOTNLM'],"['cardiovascular diseases', 'epigenetic', 'heart failure', 'omics', 'transcriptomic']",,,"['Copyright(c) by Aracne Editrice, Roma, Italy.']",,,,,,Limiti e potenzialita dell'analisi combinata epigenetica e trascrizionale su ampia scala per individuare obiettivi terapeutici nelle malattie cardiovascolari.,,,,,,
23046366,NLM,MEDLINE,20130319,20121010,1744-9987 (Electronic) 1744-9979 (Linking),16,2012 Oct,Japanese Society for Dialysis Therapy guidelines for management of cardiovascular diseases in patients on chronic hemodialysis.,384-6,10.1111/j.1744-9987.2012.01117.x [doi],"['Tsuruya, Kazuhiko', 'Hirakata, Hideki']","['Tsuruya K', 'Hirakata H']",,['eng'],['Editorial'],,Australia,Ther Apher Dial,"Therapeutic apheresis and dialysis : official peer-reviewed journal of the International Society for Apheresis, the Japanese Society for Apheresis, the Japanese Society for Dialysis Therapy",101181252,IM,"['Cardiovascular Diseases/epidemiology/physiopathology/*therapy', 'Humans', 'Japan/epidemiology', '*Practice Guidelines as Topic', 'Renal Dialysis/*methods', 'Societies, Medical']",2012/10/11 06:00,2013/03/21 06:00,['2012/10/11 06:00'],"['2012/10/11 06:00 [entrez]', '2012/10/11 06:00 [pubmed]', '2013/03/21 06:00 [medline]']",['10.1111/j.1744-9987.2012.01117.x [doi]'],ppublish,Ther Apher Dial. 2012 Oct;16(5):384-6. doi: 10.1111/j.1744-9987.2012.01117.x.,5,,,,,,,,,,,,,,,,,,,,,
20467924,NLM,MEDLINE,20100914,20100514,1615-6692 (Electronic) 0340-9937 (Linking),35,2010 May,Diabetes and the heart--a never-ending story.,129,10.1007/s00059-010-3343-1 [doi],"['Dorr, Rolf', 'Muller-Wieland, Dirk', 'Tschoepe, Diethelm']","['Dorr R', 'Muller-Wieland D', 'Tschoepe D']",,['eng'],"['Editorial', 'Introductory Journal Article']",,Germany,Herz,Herz,7801231,IM,"['Cardiovascular Diseases/*complications/*diagnosis/therapy', 'Diabetes Complications/*diagnosis/*physiopathology/therapy', 'Humans']",2010/05/15 06:00,2010/09/15 06:00,['2010/05/15 06:00'],"['2010/05/15 06:00 [entrez]', '2010/05/15 06:00 [pubmed]', '2010/09/15 06:00 [medline]']",['10.1007/s00059-010-3343-1 [doi]'],ppublish,Herz. 2010 May;35(3):129. doi: 10.1007/s00059-010-3343-1.,3,,,,,,,,,,,,,,,,,,,,,
6795805,NLM,MEDLINE,19820128,20041117,,29,1981 Jul,[Complications of cardiovascular diseases].,153-6,,"['Gordin, A', 'Baras, V']","['Gordin A', 'Baras V']",,['rum'],['Journal Article'],,Romania,Viata Med Rev Inf Prof Stiint Cadrelor Medii Sanit,Viata medicala; revista de informare profesionala si stiintifica a cadrelor medii sanitare,7609486,,"['Cardiovascular Diseases/*complications/therapy', 'Humans']",1981/07/01 00:00,1981/07/01 00:01,['1981/07/01 00:00'],"['1981/07/01 00:00 [pubmed]', '1981/07/01 00:01 [medline]', '1981/07/01 00:00 [entrez]']",,ppublish,Viata Med Rev Inf Prof Stiint Cadrelor Medii Sanit. 1981 Jul;29(7):153-6.,7,,,,,,,,,,,,,,,Complicatiile in bolile cardio-vasculare.,,,,,,
15785184,NLM,MEDLINE,20050411,20191109,1541-9215 (Print) 1541-9215 (Linking),1,2003 Winter,Crunch time for clinical cardiology.,104-6,,"['Lewis, Richard P']",['Lewis RP'],"['Department of Internal Medicine, The Ohio State University College of Medicine, Columbus, OH 43210-1252, USA.']",['eng'],"['Comparative Study', 'Journal Article']",,England,Am Heart Hosp J,The American heart hospital journal,101156064,IM,"['Cardiac Care Facilities', 'Cardiology/economics/education/*trends', 'Cardiovascular Diseases/economics/epidemiology/mortality/*therapy', 'Career Choice', 'Coronary Disease/mortality', 'Forecasting', 'Health Care Costs', 'Heart Diseases/epidemiology/mortality', 'Humans', 'Hypertension/mortality', 'Prevalence', 'Quality of Health Care', 'Stroke/mortality', 'United States', 'Workforce']",2005/03/24 09:00,2005/04/12 09:00,['2005/03/24 09:00'],"['2005/03/24 09:00 [pubmed]', '2005/04/12 09:00 [medline]', '2005/03/24 09:00 [entrez]']",['10.1111/j.1541-9215.2003.02088.x [doi]'],ppublish,Am Heart Hosp J. 2003 Winter;1(1):104-6. doi: 10.1111/j.1541-9215.2003.02088.x.,1,,,,,,,,,,,,,,,,,,,,,
10362207,NLM,MEDLINE,19990622,20190708,0735-1097 (Print) 0735-1097 (Linking),33,1999 Jun,"""Prophylactic"" valve replacement for mild aortic valve disease at time of surgery for other cardiovascular disease?...No.",2009-15,,"['Rahimtoola, S H']",['Rahimtoola SH'],,['eng'],"['Comment', 'Editorial', 'Review']",,United States,J Am Coll Cardiol,Journal of the American College of Cardiology,8301365,IM,"['Aortic Valve/*surgery', 'Cardiovascular Diseases/complications/diagnosis/*surgery', 'Decision Making', 'Heart Valve Diseases/complications/diagnosis/*surgery', '*Heart Valve Prosthesis Implantation', 'Humans', 'Intraoperative Period', 'Severity of Illness Index']",1999/06/11 00:00,1999/06/11 00:01,['1999/06/11 00:00'],"['1999/06/11 00:00 [pubmed]', '1999/06/11 00:01 [medline]', '1999/06/11 00:00 [entrez]']","['S0735109799000935 [pii]', '10.1016/s0735-1097(99)00093-5 [doi]']",ppublish,J Am Coll Cardiol. 1999 Jun;33(7):2009-15. doi: 10.1016/s0735-1097(99)00093-5.,7,,,,,,,,,,55,['J Am Coll Cardiol. 1999 Jun;33(7):2003-8. PMID: 10362206'],,,,,,,,,,
37500318,NLM,MEDLINE,20230912,20230912,1879-1913 (Electronic) 0002-9149 (Linking),203,2023 Sep 15,Cardiovascular Disease in South Asians in the United States: Lifestyle Strategies for Risk Factor Reduction.,513-514,S0002-9149(23)00575-1 [pii] 10.1016/j.amjcard.2023.07.054 [doi],"['Bhambi, Neil', 'Lee, Ming-Sum']","['Bhambi N', 'Lee MS']","['Department of Cardiology, Kaiser Permanente Los Angeles Medical Center, Los Angeles, California.', 'Department of Cardiology, Kaiser Permanente Los Angeles Medical Center, Los Angeles, California. Electronic address: mingsum.lee@kp.org.']",['eng'],"['Comment', 'Editorial']",20230725,United States,Am J Cardiol,The American journal of cardiology,0207277,IM,"['Humans', 'Asian People', '*Cardiovascular Diseases/epidemiology/ethnology/etiology/prevention & control', '*Life Style/ethnology', 'Risk Factors', '*South Asian People', 'United States/epidemiology', '*Risk Reduction Behavior']",2023/07/28 01:08,2023/08/28 06:43,['2023/07/27 22:00'],"['2023/07/07 00:00 [received]', '2023/07/08 00:00 [accepted]', '2023/08/28 06:43 [medline]', '2023/07/28 01:08 [pubmed]', '2023/07/27 22:00 [entrez]']","['S0002-9149(23)00575-1 [pii]', '10.1016/j.amjcard.2023.07.054 [doi]']",ppublish,Am J Cardiol. 2023 Sep 15;203:513-514. doi: 10.1016/j.amjcard.2023.07.054. Epub 2023 Jul 25.,,,,,"['Declaration of Competing Interest The authors have no competing interests to', 'declare.']",,,,,,,['Am J Cardiol. 2023 Sep 15;203:113-121. PMID: 37487405'],,,,,,,,,,
18350717,NLM,MEDLINE,20080422,20080320,0043-5147 (Print) 0043-5147 (Linking),60,2007,[Proinflammatory cytokines in cardiovascular diseases as potential therapeutic target].,433-8,,"['Bielecka-Dabrowa, Agata', 'Wierzbicka, Magdalena', 'Goch, Jan H']","['Bielecka-Dabrowa A', 'Wierzbicka M', 'Goch JH']",['Z Kliniki Kardiologii I Katedry Kardiologil i Kardiochirurgii Uniwersytctu Medycznego w Lodzi. agatbiel7@poczta.onet.pl'],['pol'],"['English Abstract', 'Journal Article', 'Review']",,Poland,Wiad Lek,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",9705467,IM,"['Cardiovascular Diseases/diagnosis/*immunology/*physiopathology/therapy', 'Cytokines/*immunology', 'Heart Failure/immunology/physiopathology', 'Humans', 'Inflammation Mediators/immunology']",2008/03/21 09:00,2008/04/23 09:00,['2008/03/21 09:00'],"['2008/03/21 09:00 [pubmed]', '2008/04/23 09:00 [medline]', '2008/03/21 09:00 [entrez]']",,ppublish,Wiad Lek. 2007;60(9-10):433-8.,9-10,"Several lines of evidence suggest that inflammation plays a pathogenic role in the development and progression of congestive heart failure, influencing heart contractility and hypertrophy, promoting apoptosis, and contributing to the myocardial remodeling process. Proinflammatory cytokines are important mediators of immune response, associated with endothelial dysfunction in patients with coronary artery disease or heart failure. The presence, both at tissue level and in the circulation, of increased levels of pro-inflammatory cytokines suggests that immune activation might be a relevant mechanism contributing to cardiac as well as peripheral manifestations of the disease. Traditional cardiovascular drugs have little influence on the cytokine network. Results from randomized, placebo controlled anti-TNF studies suggest lack of effect of such therapy, but the concept of immune modulation is still intensively studied. In this review we evaluate the diagnostic and prognostic value of the activation of proinflammatory cytokines, theirs role in the pathogenesis of the cardiovascular diseases and the new ways of treatment.",,,,,,,"['0 (Cytokines)', '0 (Inflammation Mediators)']",,29,,,,,Cytokiny prozapalne w chorobach ukladu krazenia jako potencjalny cel terapeutyczny.,,,,,,
21154295,NLM,MEDLINE,20120123,20101214,2081-3252 (Electronic) 1641-9251 (Linking),62,2010,Cardiovascular diseases in modern maritime industry.,101-6,,"['Oldenburg, Marcus', 'Baur, Xaver', 'Schlaich, Clara']","['Oldenburg M', 'Baur X', 'Schlaich C']",,['eng'],['Editorial'],,Poland,Int Marit Health,International maritime health,100958373,IM,"['*Cardiovascular Diseases/diagnosis/epidemiology/prevention & control/therapy', 'Humans', '*Naval Medicine', 'Patient Education as Topic', 'Population Surveillance', 'Prognosis', 'Risk Factors', 'Telemedicine']",2010/12/15 06:00,2012/01/24 06:00,['2010/12/15 06:00'],"['2010/12/15 06:00 [entrez]', '2010/12/15 06:00 [pubmed]', '2012/01/24 06:00 [medline]']",,ppublish,Int Marit Health. 2010;62(3):101-6.,3,"Acute cardiovascular diseases (CVD) are the main natural causes of death in industrialized countries - both at sea and on land. Seafarers face very specific job-related cardiac risk factors, such as time pressure, long working hours, or high stress factors onboard [1, 2]. Taking into consideration the healthy worker effect of seafarers, cardiac risk factors are shown to occur slightly more frequently in seafarers than in the general population. Owing to the lack of health professionals onboard and the limited treatment options of events at sea, effective cardiopulmonary resuscitation is often delayed and the outcome of cardiac events may be worse compared to that in other occupations ashore. Seafarers' medical surveillance examinations should be used more intensively as an opportunity for education of crews in CVD risks and the possibilities to reduce them. Further, enhancement of treatment options (e.g. by implementation of advanced therapy and diagnostics such as telemedicine or AED onboard) may contribute to improved CVD prognosis at sea.",,,,,,,,,,,,,,,,,,,,
7869795,NLM,MEDLINE,19950327,20041117,0023-7205 (Print) 0023-7205 (Linking),92,1995 Feb 22,[Prevention of cardiovascular diseases in Kiruna. A research project in primary health care].,"741-2, 747",,"['Sihm, H', 'Messner, T']","['Sihm H', 'Messner T']","['LKAB, Kiruna, medicinkliniken, Kiruna sjukhus.']",['swe'],['Journal Article'],,Sweden,Lakartidningen,Lakartidningen,0027707,IM,"['Cardiovascular Diseases/etiology/*prevention & control/psychology', 'Coronary Disease/etiology/prevention & control/psychology', 'Humans', 'Mass Screening', 'Primary Health Care', 'Research', 'Risk Factors', 'Sweden/epidemiology']",1995/02/22 00:00,1995/02/22 00:01,['1995/02/22 00:00'],"['1995/02/22 00:00 [pubmed]', '1995/02/22 00:01 [medline]', '1995/02/22 00:00 [entrez]']",,ppublish,"Lakartidningen. 1995 Feb 22;92(8):741-2, 747.",8,,,,,,,,,,,,,,,Prevention av hjart-karlsjukdom i Kiruna. Forskningsprojekt inom primarvarden tar form.,,,,,,
25926472,NLM,MEDLINE,20160516,20160115,1940-1574 (Electronic) 0003-3197 (Linking),67,2016 Feb,Neutrophil-Lympocyte Ratio and Cardiovascular Diseases: An Update.,105-6,10.1177/0003319715584135 [doi],"['Koza, Yavuzer']",['Koza Y'],"['Department of Cardiology, Ataturk University Faculty of Medicine, Erzurum, Turkey yavuzerkoza@hotmail.com.']",['eng'],['Editorial'],20150429,United States,Angiology,Angiology,0203706,IM,"['Cardiovascular Diseases/*blood/diagnosis/mortality/therapy', 'Decision Support Techniques', 'Humans', '*Lymphocyte Count', '*Lymphocytes', '*Neutrophils', 'Predictive Value of Tests', 'Prognosis', 'Risk Assessment', 'Risk Factors']",2015/05/01 06:00,2016/05/18 06:00,['2015/05/01 06:00'],"['2015/05/01 06:00 [entrez]', '2015/05/01 06:00 [pubmed]', '2016/05/18 06:00 [medline]']","['0003319715584135 [pii]', '10.1177/0003319715584135 [doi]']",ppublish,Angiology. 2016 Feb;67(2):105-6. doi: 10.1177/0003319715584135. Epub 2015 Apr 29.,2,,,,,,,,,,,,,,,,,,,,,
15010650,NLM,MEDLINE,20040622,20191108,1076-7460 (Print) 1076-7460 (Linking),13,2004 Mar-Apr,The Cardiovascular Health Study: a national treasure of cardiovascular information about the elderly.,57-8,,"['Wenger, Nanette K', 'Weber, Michael A', 'Scheidt, Stephen']","['Wenger NK', 'Weber MA', 'Scheidt S']",,['eng'],['Editorial'],,United States,Am J Geriatr Cardiol,The American journal of geriatric cardiology,9215283,IM,"['Aged', 'Cardiovascular Diseases/*diagnosis/epidemiology/therapy', '*Geriatric Assessment', 'Humans', 'Risk Factors']",2004/03/11 05:00,2004/06/23 05:00,['2004/03/11 05:00'],"['2004/03/11 05:00 [pubmed]', '2004/06/23 05:00 [medline]', '2004/03/11 05:00 [entrez]']",['10.1111/j.1076-7460.2004.02735.x [doi]'],ppublish,Am J Geriatr Cardiol. 2004 Mar-Apr;13(2):57-8. doi: 10.1111/j.1076-7460.2004.02735.x.,2,,,,,,,,,,,,,,,,,,,,,
3505177,NLM,MEDLINE,19890222,20041117,0887-8005 (Print) 0887-8005 (Linking),1,1987,Selected topics in cardiovascular disease in children.,145-6,,"['Naeye, R L']",['Naeye RL'],"['Department of Pathology, M.S. Hershey Medical Center, Pennsylvania State University College of Medicine, Hershey 17033.']",['eng'],['Journal Article'],,United States,Am J Cardiovasc Pathol,The American journal of cardiovascular pathology,8702438,IM,"['*Cardiovascular Diseases/diagnosis/pathology/therapy', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Infant, Newborn', 'Pediatrics/trends']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",,ppublish,Am J Cardiovasc Pathol. 1987;1(2):145-6.,2,,,,,,,,,,,,,,,,,,,,,
34078763,NLM,MEDLINE,20220221,20220221,1880-3873 (Electronic) 1340-3478 (Print) 1340-3478 (Linking),28,2021 Dec 1,Triglycerides on the Rise!,1263-1265,10.5551/jat.ED178 [doi],"['Tada, Hayato', 'Takamura, Masayuki', 'Kawashiri, Masa-Aki']","['Tada H', 'Takamura M', 'Kawashiri MA']","['Department of Cardiovascular Medicine, Kanazawa University Graduate School of Medical Sciences.', 'Department of Cardiovascular Medicine, Kanazawa University Graduate School of Medical Sciences.', 'Department of Cardiovascular Medicine, Kanazawa University Graduate School of Medical Sciences.']",['eng'],['Editorial'],20210602,Japan,J Atheroscler Thromb,Journal of atherosclerosis and thrombosis,9506298,IM,"['Cardiovascular Diseases/*blood/etiology/prevention & control', 'Humans', 'Triglycerides/*blood']",2021/06/04 06:00,2022/02/22 06:00,['2021/06/03 05:53'],"['2021/06/04 06:00 [pubmed]', '2022/02/22 06:00 [medline]', '2021/06/03 05:53 [entrez]']","['DN/JST.JSTAGE/jat/ED178 [pii]', '10.5551/jat.ED178 [doi]']",ppublish,J Atheroscler Thromb. 2021 Dec 1;28(12):1263-1265. doi: 10.5551/jat.ED178. Epub 2021 Jun 2.,12,,,PMC8629705,,['NOTNLM'],"['Cardiovascular disease', 'LDL cholesterol', 'Lipoprotein', 'Residual risk', 'Triglycerides']",,['0 (Triglycerides)'],,,,,,,,,,,,,
